,filename,stone_class,class_level_1,class_level_2,filetype,SUR,SEC,type_image,class_number,y_pred,y_true,correct
136,VIa_SUR_4.png,VIa,VI,a,png,True,False,SUR,3,Other,Other,1
40,IVa1_SEC_2.png,IVa1,IV,a1,png,False,True,SEC,3,Other,Other,1
166,Ia_SEC_5.jpg,Ia,I,a,jpg,False,True,SEC,0,Ia,Ia,1
134,IIb_SUR_16.jpg,IIb,II,b,jpg,True,False,SUR,1,IIb,IIb,1
64,Va_SUR_2.png,Va,V,a,png,True,False,SUR,3,Other,Other,1
148,Ia_SUR_12.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
107,Ia_SEC_20.jpg,Ia,I,a,jpg,False,True,SEC,0,Other,Ia,0
137,IVc_SEC_4.png,IVc,IV,c,png,False,True,SEC,3,Other,Other,1
99,IIIb_SEC_7.jpg,IIIb,III,b,jpg,False,True,SEC,2,IIIb,IIIb,1
125,IIIb_SUR_10.jpg,IIIb,III,b,jpg,True,False,SUR,2,IIIb,IIIb,1
189,IIb_SEC_4.jpg,IIb,II,b,jpg,False,True,SEC,1,Other,IIb,0
157,IIb_SUR_23.jpg,IIb,II,b,jpg,True,False,SUR,1,IIb,IIb,1
163,Va_SUR_1.png,Va,V,a,png,True,False,SUR,3,Other,Other,1
69,IVa1_SEC_3.png,IVa1,IV,a1,png,False,True,SEC,3,Other,Other,1
53,IIIb_SUR_8.jpg,IIIb,III,b,jpg,True,False,SUR,2,IIIb,IIIb,1
31,IVc_SUR_1.png,IVc,IV,c,png,True,False,SUR,3,Other,Other,1
195,Ia_SEC_2.jpg,Ia,I,a,jpg,False,True,SEC,0,Ia,Ia,1
110,Va_SEC_3.png,Va,V,a,png,False,True,SEC,3,Other,Other,1
151,Ia_SUR_2.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
113,Va_SUR_4.png,Va,V,a,png,True,False,SUR,3,Other,Other,1
