,filename,stone_class,class_level_1,class_level_2,filetype,SUR,SEC,type_image,class_number,y_pred,y_true,correct
179,Ia_SUR_21.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
82,Ia_SUR_6.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
156,Id_SUR_3.png,Id,I,d,png,True,False,SUR,3,Other,Other,1
98,Ia_SUR_7.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
13,IIb_SEC_5.jpg,IIb,II,b,jpg,False,True,SEC,1,IIb,IIb,1
91,IIIa_SUR_3.png,IIIa,III,a,png,True,False,SUR,3,Other,Other,1
96,Ia_SUR_22.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
19,Va_SEC_5.png,Va,V,a,png,False,True,SEC,3,IIb,Other,0
61,IVb_SEC_3.png,IVb,IV,b,png,False,True,SEC,3,Other,Other,1
161,IIb_SEC_6.jpg,IIb,II,b,jpg,False,True,SEC,1,Other,IIb,0
180,IIIb_SEC_6.jpg,IIIb,III,b,jpg,False,True,SEC,2,IIIb,IIIb,1
93,IIIb_SEC_14.jpg,IIIb,III,b,jpg,False,True,SEC,2,IIIb,IIIb,1
49,IVd_SUR_1.png,IVd,IV,d,png,True,False,SUR,3,Other,Other,1
28,Id_SUR_2.png,Id,I,d,png,True,False,SUR,3,Other,Other,1
183,IVb_SEC_1.png,IVb,IV,b,png,False,True,SEC,3,Other,Other,1
4,Ib_SUR_4.png,Ib,I,b,png,True,False,SUR,3,Other,Other,1
131,Ia_SEC_4.jpg,Ia,I,a,jpg,False,True,SEC,0,Ia,Ia,1
45,IIb_SUR_25.jpg,IIb,II,b,jpg,True,False,SUR,1,IIb,IIb,1
196,IIIa_SUR_1.png,IIIa,III,a,png,True,False,SUR,3,Other,Other,1
63,IIIb_SUR_2.jpg,IIIb,III,b,jpg,True,False,SUR,2,Other,IIIb,0
