,filename,stone_class,class_level_1,class_level_2,filetype,SUR,SEC,type_image,class_number,y_pred,y_true,correct
181,VIa_SEC_1.png,VIa,VI,a,png,False,True,SEC,3,Other,Other,1
150,IIIb_SUR_1.jpg,IIIb,III,b,jpg,True,False,SUR,2,IIIb,IIIb,1
106,Ia_SUR_1.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
51,Ia_SUR_17.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
124,Ib_SEC_1.png,Ib,I,b,png,False,True,SEC,3,Other,Other,1
126,IIa_SUR_2.png,IIa,II,a,png,True,False,SUR,3,IIb,Other,0
135,Ib_SEC_2.png,Ib,I,b,png,False,True,SEC,3,Other,Other,1
24,Ia_SEC_21.jpg,Ia,I,a,jpg,False,True,SEC,0,Ia,Ia,1
78,IIb_SUR_7.jpg,IIb,II,b,jpg,True,False,SUR,1,IIb,IIb,1
44,IVc_SUR_3.png,IVc,IV,c,png,True,False,SUR,3,Other,Other,1
103,IIb_SUR_26.jpg,IIb,II,b,jpg,True,False,SUR,1,IIb,IIb,1
14,VIa_SEC_2.png,VIa,VI,a,png,False,True,SEC,3,Other,Other,1
119,Ie_SEC_2.png,Ie,I,e,png,False,True,SEC,3,IIb,Other,0
26,Ia_SEC_10.jpg,Ia,I,a,jpg,False,True,SEC,0,Ia,Ia,1
29,Ia_SUR_26.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
94,Ib_SEC_4.png,Ib,I,b,png,False,True,SEC,3,Other,Other,1
123,IIb_SUR_8.jpg,IIb,II,b,jpg,True,False,SUR,1,IIb,IIb,1
10,IIIb_SUR_15.jpg,IIIb,III,b,jpg,True,False,SUR,2,IIIb,IIIb,1
6,IVd_SUR_2.png,IVd,IV,d,png,True,False,SUR,3,IIIb,Other,0
1,IIIb_SUR_3.jpg,IIIb,III,b,jpg,True,False,SUR,2,IIIb,IIIb,1
