,filename,stone_class,class_level_1,class_level_2,filetype,SUR,SEC,type_image,class_number,y_pred,y_true,correct
36,VIa_SUR_1.png,VIa,VI,a,png,True,False,SUR,3,Other,Other,1
170,Ie_SUR_1.png,Ie,I,e,png,True,False,SUR,3,Other,Other,1
108,IIb_SUR_21.jpg,IIb,II,b,jpg,True,False,SUR,1,Ia,IIb,0
11,IVa2_SEC_1.png,IVa2,IV,a2,png,False,True,SEC,3,Other,Other,1
187,IVc_SUR_4.png,IVc,IV,c,png,True,False,SUR,3,Other,Other,1
76,IIIb_SUR_9.jpg,IIIb,III,b,jpg,True,False,SUR,2,IIIb,IIIb,1
48,IIb_SUR_14.jpg,IIb,II,b,jpg,True,False,SUR,1,Other,IIb,0
184,Ia_SEC_26.jpg,Ia,I,a,jpg,False,True,SEC,0,Ia,Ia,1
5,IIb_SEC_9.jpg,IIb,II,b,jpg,False,True,SEC,1,IIb,IIb,1
86,Ib_SUR_2.png,Ib,I,b,png,True,False,SUR,3,Ia,Other,0
59,IIIb_SEC_4.jpg,IIIb,III,b,jpg,False,True,SEC,2,IIIb,IIIb,1
3,Ia_SUR_25.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
88,Ie_SUR_2.png,Ie,I,e,png,True,False,SUR,3,Other,Other,1
159,IVa1_SUR_4.png,IVa1,IV,a1,png,True,False,SUR,3,Other,Other,1
164,IVb_SUR_3.png,IVb,IV,b,png,True,False,SUR,3,Other,Other,1
176,Ia_SUR_27.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
75,Ia_SUR_14.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
146,IIIb_SUR_17.jpg,IIIb,III,b,jpg,True,False,SUR,2,Other,IIIb,0
121,IIIa_SEC_1.png,IIIa,III,a,png,False,True,SEC,3,Other,Other,1
8,Ia_SUR_30.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
