,filename,stone_class,class_level_1,class_level_2,filetype,SUR,SEC,type_image,class_number,y_pred,y_true,correct
25,Ia_SUR_10.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
101,Ia_SUR_29.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
80,IIa_SEC_2.png,IIa,II,a,png,False,True,SEC,3,Other,Other,1
43,IVa2_SUR_2.png,IVa2,IV,a2,png,True,False,SUR,3,IIb,Other,0
171,IVa1_SEC_4.png,IVa1,IV,a1,png,False,True,SEC,3,Other,Other,1
147,IIb_SUR_2.jpg,IIb,II,b,jpg,True,False,SUR,1,IIb,IIb,1
46,Ia_SEC_12.jpg,Ia,I,a,jpg,False,True,SEC,0,Ia,Ia,1
30,IVd_SEC_2.png,IVd,IV,d,png,False,True,SEC,3,Other,Other,1
132,IIb_SUR_12.jpg,IIb,II,b,jpg,True,False,SUR,1,IIb,IIb,1
169,IIIb_SEC_2.jpg,IIIb,III,b,jpg,False,True,SEC,2,IIb,IIIb,0
35,IVd_SEC_4.png,IVd,IV,d,png,False,True,SEC,3,Other,Other,1
127,IIb_SUR_18.jpg,IIb,II,b,jpg,True,False,SUR,1,IIb,IIb,1
154,Ia_SUR_16.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
39,IIa_SUR_1.png,IIa,II,a,png,True,False,SUR,3,Other,Other,1
54,Ia_SUR_31.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
87,IIIb_SEC_16.jpg,IIIb,III,b,jpg,False,True,SEC,2,IIIb,IIIb,1
100,IIIb_SEC_1.jpg,IIIb,III,b,jpg,False,True,SEC,2,IIIb,IIIb,1
186,Va_SEC_1.png,Va,V,a,png,False,True,SEC,3,Other,Other,1
175,IVd_SUR_4.png,IVd,IV,d,png,True,False,SUR,3,Other,Other,1
16,IVc_SUR_2.png,IVc,IV,c,png,True,False,SUR,3,Other,Other,1
