,filename,stone_class,class_level_1,class_level_2,filetype,SUR,SEC,type_image,class_number,y_pred,y_true,correct
155,IVa1_SUR_2.png,IVa1,IV,a1,png,True,False,SUR,3,IIIb,Other,0
122,IIIb_SUR_5.jpg,IIIb,III,b,jpg,True,False,SUR,2,IIIb,IIIb,1
172,IVb_SUR_4.png,IVb,IV,b,png,True,False,SUR,3,Other,Other,1
15,IVc_SEC_1.png,IVc,IV,c,png,False,True,SEC,3,Other,Other,1
168,IIb_SEC_3.jpg,IIb,II,b,jpg,False,True,SEC,1,Other,IIb,0
74,IIIb_SUR_13.jpg,IIIb,III,b,jpg,True,False,SUR,2,IIIb,IIIb,1
89,Ia_SUR_8.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
193,VIa_SUR_3.png,VIa,VI,a,png,True,False,SUR,3,Other,Other,1
21,IIIb_SEC_12.jpg,IIIb,III,b,jpg,False,True,SEC,2,IIIb,IIIb,1
7,Ia_SEC_14.jpg,Ia,I,a,jpg,False,True,SEC,0,Ia,Ia,1
102,IVd_SUR_3.png,IVd,IV,d,png,True,False,SUR,3,IIIb,Other,0
177,IIb_SUR_15.jpg,IIb,II,b,jpg,True,False,SUR,1,IIb,IIb,1
174,IIb_SUR_17.jpg,IIb,II,b,jpg,True,False,SUR,1,IIb,IIb,1
109,IVc_SEC_3.png,IVc,IV,c,png,False,True,SEC,3,Other,Other,1
12,Id_SUR_4.png,Id,I,d,png,True,False,SUR,3,Other,Other,1
27,Ia_SUR_9.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
57,IVb_SEC_4.png,IVb,IV,b,png,False,True,SEC,3,Other,Other,1
23,IVb_SUR_2.png,IVb,IV,b,png,True,False,SUR,3,Other,Other,1
84,Ia_SUR_5.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
158,Ia_SEC_3.jpg,Ia,I,a,jpg,False,True,SEC,0,Ia,Ia,1
