,filename,stone_class,class_level_1,class_level_2,filetype,SUR,SEC,type_image,class_number,y_pred,y_true,correct
97,VIa_SUR_2.png,VIa,VI,a,png,True,False,SUR,3,Other,Other,1
118,Ia_SUR_20.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
139,IVd_SUR_5.png,IVd,IV,d,png,True,False,SUR,3,Other,Other,1
77,IVd_SEC_5.png,IVd,IV,d,png,False,True,SEC,3,Other,Other,1
167,Ia_SUR_13.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
149,Ia_SEC_17.jpg,Ia,I,a,jpg,False,True,SEC,0,Ia,Ia,1
90,IIb_SUR_3.jpg,IIb,II,b,jpg,True,False,SUR,1,IIb,IIb,1
58,IVd_SEC_3.png,IVd,IV,d,png,False,True,SEC,3,Other,Other,1
117,IIIb_SUR_12.jpg,IIIb,III,b,jpg,True,False,SUR,2,Other,IIIb,0
141,VIa_SEC_3.png,VIa,VI,a,png,False,True,SEC,3,Other,Other,1
67,Ia_SUR_28.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
129,IVa1_SUR_1.png,IVa1,IV,a1,png,True,False,SUR,3,Other,Other,1
130,IIIb_SEC_13.jpg,IIIb,III,b,jpg,False,True,SEC,2,IIIb,IIIb,1
116,IIIb_SUR_16.jpg,IIIb,III,b,jpg,True,False,SUR,2,Other,IIIb,0
70,Ia_SUR_15.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
2,Ib_SUR_1.png,Ib,I,b,png,True,False,SUR,3,Other,Other,1
34,IVd_SEC_1.png,IVd,IV,d,png,False,True,SEC,3,Other,Other,1
68,Id_SEC_1.png,Id,I,d,png,False,True,SEC,3,Other,Other,1
145,Ia_SEC_22.jpg,Ia,I,a,jpg,False,True,SEC,0,Ia,Ia,1
133,IIb_SUR_20.jpg,IIb,II,b,jpg,True,False,SUR,1,IIb,IIb,1
138,IIIb_SUR_14.jpg,IIIb,III,b,jpg,True,False,SUR,2,IIIb,IIIb,1
