,filename,stone_class,class_level_1,class_level_2,filetype,SUR,SEC,type_image,class_number,y_pred,y_true,correct
185,IIIb_SUR_7.jpg,IIIb,III,b,jpg,True,False,SUR,2,IIIb,IIIb,1
18,IIb_SUR_5.jpg,IIb,II,b,jpg,True,False,SUR,1,IIb,IIb,1
162,IVa1_SEC_1.png,IVa1,IV,a1,png,False,True,SEC,3,Other,Other,1
105,IVa1_SUR_3.png,IVa1,IV,a1,png,True,False,SUR,3,Other,Other,1
83,IIb_SUR_24.jpg,IIb,II,b,jpg,True,False,SUR,1,IIb,IIb,1
199,Ia_SUR_11.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
202,Ia_SEC_11.jpg,Ia,I,a,jpg,False,True,SEC,0,Ia,Ia,1
38,Ia_SEC_13.jpg,Ia,I,a,jpg,False,True,SEC,0,Ia,Ia,1
65,IIIb_SEC_5.jpg,IIIb,III,b,jpg,False,True,SEC,2,IIIb,IIIb,1
197,IIb_SUR_19.jpg,IIb,II,b,jpg,True,False,SUR,1,IIb,IIb,1
104,Id_SEC_2.png,Id,I,d,png,False,True,SEC,3,Other,Other,1
22,Va_SEC_4.png,Va,V,a,png,False,True,SEC,3,Other,Other,1
81,Ic_SUR_1.png,Ic,I,c,png,True,False,SUR,3,Other,Other,1
95,IIIb_SEC_15.jpg,IIIb,III,b,jpg,False,True,SEC,2,Ia,IIIb,0
37,Ia_SEC_25.jpg,Ia,I,a,jpg,False,True,SEC,0,Ia,Ia,1
160,IVb_SEC_2.png,IVb,IV,b,png,False,True,SEC,3,Other,Other,1
200,Ia_SEC_23.jpg,Ia,I,a,jpg,False,True,SEC,0,Ia,Ia,1
92,Ia_SUR_19.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
41,Va_SEC_2.png,Va,V,a,png,False,True,SEC,3,Other,Other,1
165,IVb_SUR_1.png,IVb,IV,b,png,True,False,SUR,3,Other,Other,1
